communal_territory_id,progressive_id,alphanumeric_id,name,italian_name,other_name,is_province,numeric_id,numeric_2010_2016_id,numeric_2006_2009_id,numeric_1995_2005_id,cadastral_code
102,33,102033,San Costantino Calabro,San Costantino Calabro,,0,102033,102033,102033,102033,H807
102,34,102034,San Gregorio d'Ippona,San Gregorio d'Ippona,,0,102034,102034,102034,102034,H941
102,35,102035,San Nicola da Crissa,San Nicola da Crissa,,0,102035,102035,102035,102035,I058
102,36,102036,Sant'Onofrio,Sant'Onofrio,,0,102036,102036,102036,102036,I350
102,37,102037,Serra San Bruno,Serra San Bruno,,0,102037,102037,102037,102037,I639
102,38,102038,Simbario,Simbario,,0,102038,102038,102038,102038,I744
102,39,102039,Sorianello,Sorianello,,0,102039,102039,102039,102039,I853
102,40,102040,Soriano Calabro,Soriano Calabro,,0,102040,102040,102040,102040,I854
102,41,102041,Spadola,Spadola,,0,102041,102041,102041,102041,I884
102,42,102042,Spilinga,Spilinga,,0,102042,102042,102042,102042,I905
102,43,102043,Stefanaconi,Stefanaconi,,0,102043,102043,102043,102043,I945
102,44,102044,Tropea,Tropea,,0,102044,102044,102044,102044,L452
102,45,102045,Vallelonga,Vallelonga,,0,102045,102045,102045,102045,L607
102,46,102046,Vazzano,Vazzano,,0,102046,102046,102046,102046,L699
102,47,102047,Vibo Valentia,Vibo Valentia,,1,102047,102047,102047,102047,F537
102,48,102048,Zaccanopoli,Zaccanopoli,,0,102048,102048,102048,102048,M138
102,49,102049,Zambrone,Zambrone,,0,102049,102049,102049,102049,M143
102,50,102050,Zungri,Zungri,,0,102050,102050,102050,102050,M204
81,1,81001,Alcamo,Alcamo,,0,81001,81001,81001,81001,A176
81,2,81002,Buseto Palizzolo,Buseto Palizzolo,,0,81002,81002,81002,81002,B288
81,3,81003,Calatafimi-Segesta,Calatafimi-Segesta,,0,81003,81003,81003,81003,B385
81,4,81004,Campobello di Mazara,Campobello di Mazara,,0,81004,81004,81004,81004,B521
81,5,81005,Castellammare del Golfo,Castellammare del Golfo,,0,81005,81005,81005,81005,C130
81,6,81006,Castelvetrano,Castelvetrano,,0,81006,81006,81006,81006,C286
81,7,81007,Custonaci,Custonaci,,0,81007,81007,81007,81007,D234
81,8,81008,Erice,Erice,,0,81008,81008,81008,81008,D423
81,9,81009,Favignana,Favignana,,0,81009,81009,81009,81009,D518
81,10,81010,Gibellina,Gibellina,,0,81010,81010,81010,81010,E023
81,11,81011,Marsala,Marsala,,0,81011,81011,81011,81011,E974
81,12,81012,Mazara del Vallo,Mazara del Vallo,,0,81012,81012,81012,81012,F061
81,13,81013,Paceco,Paceco,,0,81013,81013,81013,81013,G208
81,14,81014,Pantelleria,Pantelleria,,0,81014,81014,81014,81014,G315
81,15,81015,Partanna,Partanna,,0,81015,81015,81015,81015,G347
81,16,81016,Poggioreale,Poggioreale,,0,81016,81016,81016,81016,G767
81,17,81017,Salaparuta,Salaparuta,,0,81017,81017,81017,81017,H688
81,18,81018,Salemi,Salemi,,0,81018,81018,81018,81018,H700
81,19,81019,Santa Ninfa,Santa Ninfa,,0,81019,81019,81019,81019,I291
81,20,81020,San Vito Lo Capo,San Vito Lo Capo,,0,81020,81020,81020,81020,I407
81,21,81021,Trapani,Trapani,,1,81021,81021,81021,81021,L331
81,22,81022,Valderice,Valderice,,0,81022,81022,81022,81022,G319
81,23,81023,Vita,Vita,,0,81023,81023,81023,81023,M081
81,24,81024,Petrosino,Petrosino,,0,81024,81024,81024,81024,M281
81,25,81025,Misiliscemi,Misiliscemi,,0,81025,81025,81025,81025,M432
282,1,82001,Alia,Alia,,0,82001,82001,82001,82001,A195
282,2,82002,Alimena,Alimena,,0,82002,82002,82002,82002,A202
282,3,82003,Aliminusa,Aliminusa,,0,82003,82003,82003,82003,A203
282,4,82004,Altavilla Milicia,Altavilla Milicia,,0,82004,82004,82004,82004,A229
282,5,82005,Altofonte,Altofonte,,0,82005,82005,82005,82005,A239
282,6,82006,Bagheria,Bagheria,,0,82006,82006,82006,82006,A546
282,7,82007,Balestrate,Balestrate,,0,82007,82007,82007,82007,A592
282,8,82008,Baucina,Baucina,,0,82008,82008,82008,82008,A719
282,9,82009,Belmonte Mezzagno,Belmonte Mezzagno,,0,82009,82009,82009,82009,A764
282,10,82010,Bisacquino,Bisacquino,,0,82010,82010,82010,82010,A882
282,11,82011,Bolognetta,Bolognetta,,0,82011,82011,82011,82011,A946
282,12,82012,Bompietro,Bompietro,,0,82012,82012,82012,82012,A958
282,13,82013,Borgetto,Borgetto,,0,82013,82013,82013,82013,A991
282,14,82014,Caccamo,Caccamo,,0,82014,82014,82014,82014,B315
282,15,82015,Caltavuturo,Caltavuturo,,0,82015,82015,82015,82015,B430
282,16,82016,Campofelice di Fitalia,Campofelice di Fitalia,,0,82016,82016,82016,82016,B533
282,17,82017,Campofelice di Roccella,Campofelice di Roccella,,0,82017,82017,82017,82017,B532
282,18,82018,Campofiorito,Campofiorito,,0,82018,82018,82018,82018,B535
282,19,82019,Camporeale,Camporeale,,0,82019,82019,82019,82019,B556
282,20,82020,Capaci,Capaci,,0,82020,82020,82020,82020,B645
282,21,82021,Carini,Carini,,0,82021,82021,82021,82021,B780
282,22,82022,Castelbuono,Castelbuono,,0,82022,82022,82022,82022,C067
282,23,82023,Casteldaccia,Casteldaccia,,0,82023,82023,82023,82023,C074
282,24,82024,Castellana Sicula,Castellana Sicula,,0,82024,82024,82024,82024,C135
282,25,82025,Castronovo di Sicilia,Castronovo di Sicilia,,0,82025,82025,82025,82025,C344
282,26,82026,Cefalà Diana,Cefalà Diana,,0,82026,82026,82026,82026,C420
282,27,82027,Cefalù,Cefalù,,0,82027,82027,82027,82027,C421
282,28,82028,Cerda,Cerda,,0,82028,82028,82028,82028,C496
282,29,82029,Chiusa Sclafani,Chiusa Sclafani,,0,82029,82029,82029,82029,C654
282,30,82030,Ciminna,Ciminna,,0,82030,82030,82030,82030,C696
282,31,82031,Cinisi,Cinisi,,0,82031,82031,82031,82031,C708
282,32,82032,Collesano,Collesano,,0,82032,82032,82032,82032,C871
282,33,82033,Contessa Entellina,Contessa Entellina,,0,82033,82033,82033,82033,C968
282,34,82034,Corleone,Corleone,,0,82034,82034,82034,82034,D009
282,35,82035,Ficarazzi,Ficarazzi,,0,82035,82035,82035,82035,D567
282,36,82036,Gangi,Gangi,,0,82036,82036,82036,82036,D907
282,37,82037,Geraci Siculo,Geraci Siculo,,0,82037,82037,82037,82037,D977
282,38,82038,Giardinello,Giardinello,,0,82038,82038,82038,82038,E013
282,39,82039,Giuliana,Giuliana,,0,82039,82039,82039,82039,E055
282,40,82040,Godrano,Godrano,,0,82040,82040,82040,82040,E074
